Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17	X18	Y18	Flag18	X19	Y19	Flag19	X20	Y20	Flag20	X21	Y21	Flag21	X22	Y22	Flag22	X23	Y23	Flag23	X24	Y24	Flag24	X25	Y25	Flag25	X26	Y26	Flag26	X27	Y27	Flag27	X28	Y28	Flag28	X29	Y29	Flag29	X30	Y30	Flag30	X31	Y31	Flag31	X32	Y32	Flag32	X33	Y33	Flag33	X34	Y34	Flag34	X35	Y35	Flag35	X36	Y36	Flag36	X37	Y37	Flag37	X38	Y38	Flag38	X39	Y39	Flag39	X40	Y40	Flag40	X41	Y41	Flag41	X42	Y42	Flag42	X43	Y43	Flag43	X44	Y44	Flag44	X45	Y45	Flag45	X46	Y46	Flag46	X47	Y47	Flag47	X48	Y48	Flag48	X49	Y49	Flag49	X50	Y50	Flag50	X51	Y51	Flag51	X52	Y52	Flag52	X53	Y53	Flag53	X54	Y54	Flag54	X55	Y55	Flag55	X56	Y56	Flag56	X57	Y57	Flag57	X58	Y58	Flag58	X59	Y59	Flag59	X60	Y60	Flag60	X61	Y61	Flag61	X62	Y62	Flag62	X63	Y63	Flag63	X64	Y64	Flag64	X65	Y65	Flag65	X66	Y66	Flag66	X67	Y67	Flag67	X68	Y68	Flag68	X69	Y69	Flag69	X70	Y70	Flag70	X71	Y71	Flag71	X72	Y72	Flag72	X73	Y73	Flag73	X74	Y74	Flag74	X75	Y75	Flag75
Tracks 1 to 75
1	162.07812	7.734375	 	74.72388	18.410448	 	1371.2794	20.191177	 	1059.1406	29.09375	 	1300.34	38.24	 	716.7676	59.528168	 	320.79285	63.092857	 	496.41	65.01	 	489.89655	76.36207	 	1105.4697	98.43939	 	691.5769	111.66923	 	161.07576	121.34849	 	100.55334	128.23334	 	561.7931	126.844826	 	296.30328	144.10655	 	1110.4231	150.66924	 	903.7656	153.4375	 	818.80554	162.29167	 	467.44916	191.73729	 	903.3472	213.47223	 	319.4138	214.17241	 	1235.6818	214.42728	 	164.10606	223.06061	 	380.6846	230.1923	 	708.38525	232.33606	 	1218.3209	232.03731	 	695.65625	239.09375	 	349.05	240.3875	 	94.86232	247.2971	 	333.67545	250.3421	 	142.7381	252.89682	 	105.36364	274.0606	 	915.56665	275.95	 	848.1721	277.86066	 	717.2468	287.55063	 	1204.9329	302.24628	 	1225.89	310.039	 	36.27778	325.94446	 	289.60345	326.0862	 	878.3043	335.8587	 	405.89343	351.10657	 	1125.85	351.99	 	275.0	358.5303	 	1134.9861	363.34723	 	317.09677	366.41934	 	17.913334	368.80667	 	1098.7933	375.55334	 	1203.0098	377.59805	 	1186.4727	388.6644	 	418.1508	392.6746	 	466.40625	405.70312	 	234.90984	410.7787	 	434.4896	410.72916	 	392.69403	416.72388	 	1295.225	420.825	 	524.3868	429.78302	 	381.15433	436.68518	 	274.79413	444.21765	 	166.57793	450.7857	 	1058.0471	450.93396	 	1366.9557	451.71518	 	1399.0	453.0	 	1009.9516	454.2903	 	102.51667	462.08334	 	34.47059	463.44116	 	552.0875	472.5	 	468.24194	488.7097	 	428.87634	489.59677	 	560.5633	492.79114	 	487.19843	500.3889	 	1145.4104	531.17163	 	112.484375	547.9375	 	1149.1842	551.1842	 	719.1	558.8077	 	272.73944	567.27466	 
2	161.91667	7.483333	 	75.0	19.0	 	1371.8286	20.114286	 	1059.6692	29.46923	 	1300.42	38.5	 	716.63434	58.649254	 	320.84558	62.713234	 	496.03333	65.14762	 	489.58475	76.51695	 	1105.3383	98.30882	 	691.5469	111.734375	 	160.90625	121.140625	 	100.22222	128.30556	 	561.84485	127.24138	 	295.92624	143.30328	 	1110.1562	150.54688	 	903.4706	152.44118	 	819.4041	162.22603	 	468.1271	191.12712	 	903.31335	213.38	 	319.4298	214.48245	 	1235.9426	214.64754	 	164.02307	223.05385	 	381.28125	230.0	 	708.0873	231.62698	 	1218.2656	232.15625	 	695.6515	238.68182	 	349.2195	240.10976	 	95.171875	246.82812	 	334.26273	250.4661	 	142.51408	253.06339	 	105.097015	273.76865	 	915.4048	275.46826	 	848.0161	278.0	 	717.8291	287.55063	 	1205.0942	302.15216	 	1225.7428	309.9	 	36.876625	325.4221	 	289.5	326.7264	 	878.6839	335.7069	 	406.01666	351.0	 	1125.48	351.93	 	274.9762	358.3254	 	1135.2324	363.45773	 	317.42957	365.37323	 	17.8	369.24286	 	1099.8038	374.85443	 	1203.1471	377.81372	 	1186.5922	388.9342	 	417.5	392.64706	 	466.85715	405.3143	 	234.90323	410.2258	 	434.2097	410.37097	 	392.8	416.41428	 	1295.1506	421.1506	 	523.61536	430.09616	 	381.1154	436.51282	 	275.89536	444.60464	 	166.5685	450.84247	 	1057.2	450.64	 	1366.9546	451.3052	 	1398.8889	453.1111	 	1010.26117	454.06717	 	102.99123	462.28946	 	35.126865	463.27612	 	552.2683	471.82925	 	468.05554	488.89682	 	429.06384	489.88297	 	560.9675	492.44806	 	487.5625	500.73438	 	1144.9929	530.9507	 	112.32089	547.4552	 	1149.4304	550.8739	 	719.1462	558.4385	 	272.5597	567.0821	 
3	161.91667	7.483333	 	75.207695	19.1	 	1371.4324	20.581081	 	1059.6167	29.916666	 	 	 	 	716.7794	58.64706	 	320.3143	62.04286	 	495.66037	65.06604	 	489.10345	77.32758	 	1105.8677	98.367645	 	691.25806	112.59677	 	160.7258	121.08064	 	100.6	127.91428	 	561.68335	127.6	 	296.96667	142.65	 	1110.1	151.33076	 	903.70636	152.83333	 	819.8699	162.26712	 	468.4655	191.03448	 	903.8239	213.44366	 	318.9737	214.6579	 	1236.1034	215.51724	 	164.25757	223.09091	 	381.48486	229.68182	 	709.16156	232.17693	 	1218.3485	231.63637	 	696.0846	239.33076	 	349.19412	240.8647	 	95.21429	246.5	 	334.08182	250.48181	 	142.93283	252.96269	 	104.45238	274.3095	 	915.3889	276.16666	 	847.95	278.68332	 	718.175	288.2625	 	1205.0363	302.71738	 	1226.174	310.46378	 	36.694805	325.3052	 	289.82727	327.06363	 	878.6556	335.43332	 	406.07812	351.76562	 	1125.3544	351.7233	 	275.3871	358.8871	 	1135.1714	362.95715	 	317.09015	365.53278	 	18.428572	369.65714	 	1099.7933	375.34	 	1202.537	377.22223	 	1186.8026	389.2763	 	416.66217	392.33783	 	467.37143	405.3143	 	235.16154	410.7154	 	433.87112	409.98453	 	392.81885	416.74637	 	1295.4382	421.31482	 	522.8019	430.29245	 	380.84616	437.60257	 	275.35226	444.93182	 	166.14865	450.18918	 	1057.25	450.8846	 	1367.019	451.60126	 	1398.1274	453.67648	 	1010.15674	454.76865	 	102.86207	462.7586	 	34.528984	463.39856	 	552.6111	472.45062	 	468.5	488.67188	 	428.66666	490.17776	 	562.0949	492.75317	 	487.7131	501.15573	 	1145.1666	531.5	 	112.470146	547.47015	 	1149.5901	551.4099	 	718.88464	558.37695	 	272.2015	567.1269	 
4	162.375	6.953125	 	75.80303	19.19697	 	1371.3082	20.445206	 	1059.8539	29.038462	 	 	 	 	716.63043	58.528984	 	320.32312	62.030613	 	495.3866	65.37629	 	489.11404	77.53509	 	1105.7273	97.666664	 	690.70636	112.48412	 	160.84921	121.11905	 	100.671425	127.0	 	562.13794	127.67242	 	296.4355	142.5	 	1110.3485	151.56061	 	903.7174	152.2971	 	819.6081	162.24324	 	468.05737	191.22131	 	904.29224	212.88962	 	318.65518	214.06897	 	1235.8636	215.7	 	165.15218	222.71739	 	380.8433	229.7388	 	708.98486	232.15152	 	1218.3209	231.51492	 	696.0352	239.7817	 	349.5	240.73457	 	95.0	246.86363	 	333.5566	250.14151	 	142.62675	253.62675	 	103.84849	273.92426	 	915.4531	275.73438	 	848.1229	278.56558	 	718.0309	288.21606	 	1204.8135	302.75372	 	1226.5068	310.1345	 	37.031647	324.87976	 	289.71054	328.00876	 	878.882	335.47754	 	405.41046	351.0821	 	1125.5776	351.62622	 	275.36887	358.87704	 	1135.5571	362.45715	 	317.2377	364.82788	 	18.37143	370.34286	 	1099.6666	375.07693	 	1202.3823	377.63727	 	1186.6733	389.28665	 	416.7676	392.9366	 	467.48386	404.5645	 	235.04099	410.40164	 	434.04166	409.78125	 	392.5	416.81818	 	1295.1709	421.4114	 	 	 	 	380.8846	437.48718	 	275.88635	444.4091	 	166.1579	450.4079	 	1057.2115	450.78845	 	1366.817	451.40244	 	1398.1111	453.8889	 	1010.25806	454.35483	 	103.00848	462.48306	 	33.61111	463.83334	 	552.3452	472.8095	 	468.5	489.3305	 	429.23334	489.67776	 	561.94	492.63333	 	487.76562	501.48438	 	1145.1478	530.75354	 	112.06061	547.6061	 	1149.4565	551.0391	 	720.0571	558.24286	 	271.95206	566.4041	 
5	162.45082	6.057377	 	75.59524	19.769842	 	1371.3611	20.73611	 	1060.0238	28.468254	 	 	 	 	716.097	59.350746	 	319.61346	61.84752	 	495.09805	64.833336	 	489.10345	77.32758	 	1106.2761	97.589554	 	690.0	112.5	 	161.16667	121.01515	 	100.328575	127.5	 	562.93634	128.17273	 	295.68033	141.89345	 	1110.2076	151.5923	 	903.66925	152.05385	 	819.9054	162.58109	 	468.5	191.1909	 	904.3312	212.96753	 	319.27194	213.8158	 	1236.931	215.75862	 	164.84782	222.4855	 	381.28125	230.0	 	709.78815	232.31355	 	1218.1508	231.23016	 	695.91174	239.41176	 	350.18292	240.01219	 	95.291046	247.79851	 	333.60526	250.3772	 	142.75	254.04688	 	104.56061	274.71213	 	915.5	275.6846	 	847.6786	279.30356	 	717.7099	287.88272	 	1205.5857	303.67142	 	1226.8429	309.72858	 	36.513157	325.0658	 	290.5	327.5	 	879.1778	334.52222	 	404.8125	350.85938	 	1125.4135	351.05768	 	274.91934	359.12903	 	1136.1713	363.30823	 	317.08463	365.13077	 	16.992958	370.26056	 	1100.3961	374.73376	 	1202.991	377.97272	 	1187.0333	389.60666	 	416.5435	392.9058	 	467.48508	404.58954	 	234.9754	410.56558	 	433.9433	409.63403	 	392.27274	417.13635	 	1294.9375	421.5875	 	 	 	 	380.8846	437.48718	 	275.56976	444.44186	 	166.47647	450.65295	 	1057.75	450.1154	 	1367.05	451.3375	 	1398.0577	453.48077	 	1009.9923	455.14615	 	102.55173	462.0	 	33.99254	463.41046	 	552.1709	472.66455	 	469.24628	489.58954	 	429.05435	489.80435	 	562.3961	493.11038	 	487.96667	501.35	 	1144.8582	530.7537	 	112.108696	547.587	 	1148.9546	551.55457	 	719.7239	558.26117	 	271.94287	566.61426	 
6	163.0238	5.6904764	 	75.80159	19.849207	 	1371.5695	20.777779	 	1059.7924	28.884615	 	 	 	 	715.3485	59.560608	 	319.1454	62.30851	 	494.89774	64.556816	 	489.20175	77.51755	 	1106.5714	97.671425	 	690.0	112.63793	 	160.82812	121.109375	 	100.25	127.72222	 	563.0	128.36208	 	295.51587	142.40475	 	1110.3308	152.03847	 	904.125	152.20312	 	819.7222	163.29167	 	468.38135	190.73729	 	903.75336	213.1	 	319.4138	214.0	 	1236.921	215.67545	 	164.5625	222.67188	 	381.1	230.22308	 	709.3197	233.07378	 	1218.4395	231.72728	 	695.9	238.07143	 	350.2805	239.81708	 	95.390625	247.85938	 	333.97272	250.02727	 	142.52856	254.04286	 	104.83846	275.06924	 	914.5	275.6846	 	847.2414	278.98276	 	717.1707	288.2073	 	1205.3356	303.73288	 	1227.0745	309.79788	 	36.62987	324.513	 	291.1271	326.58475	 	879.42474	334.41397	 	404.81668	350.58334	 	1125.3738	351.37378	 	274.31668	358.8	 	1135.8948	362.9737	 	316.7097	366.0	 	16.725351	370.61267	 	1100.8116	374.73376	 	1203.085	378.1415	 	1187.0195	390.05844	 	416.45587	393.11765	 	467.14615	404.62308	 	234.32	411.4	 	434.38	409.64	 	392.96478	416.44366	 	1294.3354	422.1709	 	 	 	 	380.3125	437.775	 	275.3161	444.86783	 	165.8372	451.2907	 	1057.0491	449.7157	 	1367.2317	451.09756	 	1397.0	453.5	 	1009.6791	455.4403	 	101.86207	461.7586	 	34.33077	463.1769	 	552.2308	473.5	 	468.37692	489.85385	 	428.79788	489.23404	 	561.9872	493.19232	 	487.6111	501.13492	 	1144.4714	530.5714	 	111.708954	547.6791	 	1149.2413	551.7845	 	719.8485	557.7727	 	271.88235	566.44116	 
7	162.7459	5.7295084	 	76.05738	20.057377	 	1372.1714	20.342857	 	1059.8906	28.65625	 	 	 	 	715.60767	58.7	 	319.0141	62.049297	 	495.52042	64.78571	 	489.1316	77.6579	 	1106.7812	98.046875	 	690.4322	113.02542	 	160.69048	120.388885	 	100.708336	127.486115	 	563.1429	128.25	 	295.68033	143.17213	 	1110.8582	152.44029	 	904.1406	152.57812	 	819.67566	163.25676	 	468.22415	190.91379	 	904.7105	213.05263	 	319.5	213.5	 	1237.0	215.53334	 	164.46875	222.21875	 	381.85385	230.1	 	709.88336	233.03334	 	1218.7656	231.625	 	696.0417	237.65277	 	350.17902	239.26543	 	96.242424	247.13637	 	334.161	249.83899	 	143.08571	254.5	 	105.01515	274.63635	 	914.4531	275.73438	 	847.4524	278.23016	 	717.70514	287.51282	 	1205.1957	304.25363	 	1227.0145	309.75363	 	36.592106	324.3684	 	291.15518	326.2069	 	879.40216	334.36957	 	404.93076	350.08463	 	1125.203	351.20297	 	273.78815	358.82202	 	1135.9933	362.79333	 	316.18253	365.4365	 	16.932432	370.1081	 	1101.3784	374.7027	 	1203.6346	378.1154	 	1187.7236	390.2237	 	416.15714	392.1143	 	466.7923	404.62308	 	234.01666	410.75	 	434.6837	409.2449	 	392.96378	416.35507	 	1293.9814	422.12964	 	 	 	 	380.225	436.85	 	274.45505	445.07303	 	165.7625	450.6	 	1057.0769	449.8654	 	1367.5952	450.92856	 	1397.1346	452.98077	 	1009.7727	455.5	 	102.245766	460.8729	 	34.558823	463.2353	 	553.3481	473.55063	 	468.61667	490.26666	 	429.2742	488.2957	 	562.26624	493.0974	 	486.82788	500.79507	 	1144.3677	530.8823	 	111.46923	547.2077	 	1148.6517	551.25	 	720.0507	557.84784	 	271.3955	565.9776	 
8	163.14615	5.7153845	 	76.21875	20.171875	 	1372.4286	20.214285	 	1060.0	28.85484	 	 	 	 	715.6515	59.439392	 	319.28873	61.957745	 	495.77884	64.99039	 	488.53333	77.433334	 	1107.377	97.88461	 	690.2656	113.546875	 	160.84921	121.11905	 	101.061646	128.18494	 	562.8091	128.11818	 	296.18854	141.92622	 	1111.6875	152.35938	 	904.5968	153.0	 	819.12164	163.60811	 	468.3772	190.83333	 	904.5405	213.35135	 	318.9035	213.32455	 	1237.0	215.8793	 	165.05385	222.53076	 	382.13635	230.16667	 	709.31036	232.65517	 	1218.7424	232.21213	 	695.9091	238.01515	 	350.8012	239.03012	 	96.375	247.23438	 	333.97272	250.02727	 	142.59859	253.88028	 	104.67461	274.7857	 	914.6905	276.2619	 	847.81744	278.92856	 	717.96155	287.48718	 	1205.1522	304.38406	 	1226.8525	309.6367	 	36.525642	324.14102	 	291.14407	326.72034	 	880.0862	334.3161	 	405.07144	350.51587	 	1125.1602	351.66504	 	273.7903	359.01614	 	1136.0143	363.3	 	316.19232	365.73077	 	16.739437	369.69717	 	1100.7435	375.05127	 	1204.0555	378.22223	 	1187.3334	390.59723	 	416.26923	393.46924	 	466.42307	405.13077	 	234.2	410.76666	 	434.64432	409.4175	 	393.5	417.22726	 	1293.7375	421.8625	 	 	 	 	380.1154	436.51282	 	275.0	445.5	 	165.94595	450.4054	 	1056.7549	450.08823	 	1366.9878	450.84146	 	1397.1111	452.8889	 	1009.9776	455.57462	 	102.07895	460.99124	 	34.410446	463.41046	 	553.5482	473.18674	 	469.3254	489.83334	 	429.08243	488.58792	 	561.8333	493.26923	 	486.89343	500.38525	 	1144.6212	531.0303	 	111.382355	547.32355	 	1148.9235	551.3108	 	719.7778	558.30554	 	270.72726	565.7879	 
9	162.39062	5.609375	 	76.6875	19.578125	 	1371.2123	20.321918	 	1060.0238	28.785715	 	 	 	 	715.6515	59.439392	 	318.70947	62.58108	 	495.7843	65.26471	 	488.3772	77.570175	 	1107.4385	97.792305	 	690.70636	113.51588	 	160.22058	120.92647	 	100.814285	128.12857	 	562.7407	128.14815	 	296.17798	141.16101	 	1111.4395	152.65152	 	904.7308	153.28462	 	819.0	163.66216	 	469.13794	190.2931	 	904.3961	213.2922	 	319.13794	213.53448	 	1236.2069	215.65517	 	164.91791	222.2612	 	381.5645	230.03226	 	708.44916	233.3983	 	1218.4395	232.34848	 	696.30884	238.83824	 	350.09525	239.17857	 	96.59091	247.43939	 	333.4649	250.28947	 	142.51587	253.89682	 	104.77273	273.95456	 	914.24243	275.65152	 	847.7143	278.89285	 	717.6039	287.46103	 	1205.2123	305.17123	 	1226.662	309.88028	 	36.602566	324.32053	 	291.2213	326.36887	 	880.0301	333.98193	 	405.0606	349.63635	 	1125.1923	350.71155	 	273.82788	358.82788	 	1135.9078	363.4737	 	315.13492	366.3095	 	16.725351	369.61267	 	1101.3987	374.87976	 	1204.2736	378.23584	 	1187.2433	390.5	 	416.83823	393.17648	 	465.17743	404.5	 	233.79507	410.56558	 	434.1598	409.23196	 	393.48462	416.74615	 	1293.8	421.875	 	 	 	 	379.92682	436.08536	 	274.75287	446.1207	 	165.8625	449.75	 	1056.8208	450.0849	 	1366.2858	450.7976	 	1396.8889	453.1111	 	1009.6515	454.9091	 	101.48305	461.02542	 	34.679104	463.12686	 	553.3125	473.0625	 	469.75	489.8	 	428.47803	488.34616	 	561.8117	492.96753	 	487.3	500.03845	 	1144.5923	530.88464	 	111.35507	547.2971	 	1149.1964	551.2857	 	719.53174	558.6746	 	270.5141	565.3028	 
