X	Y
0	32.1598
1	32.2925
2	32.5363
3	32.7562
4	32.9118
5	33.1068
6	33.3320
7	33.4118
8	33.6317
9	33.8600
10	33.9865
11	34.1473
12	34.3434
13	34.4658
14	34.4969
15	34.6266
16	34.7687
17	34.7178
18	34.6224
19	34.5757
20	34.6224
21	34.5021
22	34.4015
23	34.3454
24	34.1255
25	34.0124
26	33.8475
27	33.7116
28	33.6297
29	33.5415
30	33.4741
31	33.4616
32	33.4689
33	33.6255
34	33.6349
35	34.0363
36	34.2147
37	34.5944
38	34.8994
39	35.4492
40	36.1172
41	36.8911
42	37.5124
43	38.3506
44	39.1649
45	39.9896
46	40.8371
47	41.8133
48	42.6898
49	43.5985
50	44.5996
51	45.4595
52	46.3672
53	47.0799
54	48.0820
55	48.8164
56	49.5633
57	50.3942
58	51.1214
59	51.7116
60	52.3900
61	53.1639
62	53.5965
63	54.1670
64	54.5415
65	54.8434
66	55.2344
67	55.5000
68	55.6504
69	55.9357
70	56.0799
71	56.1743
72	56.3527
73	56.3662
74	56.4979
75	56.4730
76	56.4844
77	56.3662
78	56.4471
79	56.3672
80	56.4440
81	56.6546
82	56.6753
83	56.5788
84	56.5747
85	56.9046
86	56.9907
87	57.1898
88	57.3402
89	57.5705
90	57.6307
91	57.9689
92	58.1836
93	58.3568
94	58.5913
95	58.7075
96	58.9637
97	58.9948
98	59.1919
99	59.1950
100	59.2542
101	59.3651
102	59.3371
103	59.4419
104	59.6732
105	59.4969
106	59.5363
107	59.4896
108	59.4253
109	59.6234
110	59.3537
111	59.1981
112	59.0498
113	59.0975
114	58.9844
115	58.7438
116	58.3174
117	58.1846
118	57.8849
119	57.7396
120	57.5965
121	57.4201
122	57.3288
123	57.1670
124	57.0871
125	57.0633
126	56.9834
127	56.8434
128	56.6639
129	56.2500
130	56.0239
131	55.8237
132	55.7199
133	55.5259
134	55.5498
135	55.5093
136	55.4118
137	55.2210
138	55.2127
139	55.2624
140	55.2002
141	55.0654
142	55.1255
143	55.1276
144	55.1577
145	55.1317
146	55.0436
147	55.0342
148	55.0073
149	54.8932
150	54.7448
151	54.6338
152	54.3849
153	54.1680
154	53.9118
155	53.4844
156	53.0488
157	52.4108
158	51.9357
159	51.3361
160	50.7438
161	50.0768
162	49.4419
163	48.6701
164	47.9834
165	47.3434
166	46.5218
167	45.9471
168	45.1037
169	44.3942
170	43.4855
171	42.6815
172	41.8683
173	41.0975
174	40.1909
175	39.3195
176	38.7479
177	37.9689
178	37.5218
179	36.8537
180	36.2479
181	35.7739
182	35.3174
183	34.9834
184	34.4647
185	34.0539
186	33.8050
187	33.6380
188	33.3579
189	33.0923
190	32.9346
191	32.7438
192	32.6919
193	32.3838
194	32.3205
195	32.2728
196	32.2542
197	32.2967
198	32.2303
199	32.1421
200	32.1328
201	32.3828
202	32.3911
203	32.4035
204	32.2697
205	32.2220
206	32.2365
207	32.2407
208	32.0809
209	32.2479
210	32.2676
211	32.2376
212	32.3776
