Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17
Tracks 1 to 17
1	265.75635	84.15127	 	1234.1997	118.38854	 	379.95255	144.3686	 	771.616	158.736	 	494.80646	182.09274	 	1018.81354	221.30528	 	419.48135	349.41418	 	1093.6035	372.3576	 	894.41565	396.998	 	108.861565	405.44138	 	1232.4584	559.0609	 	52.979042	564.7365	 	616.5942	703.26086	 	1437.08	814.82	 	788.11316	968.5803	 	499.61853	1064.226	 	863.9533	1074.36	 
2	266.15958	83.90662	 	1234.3727	118.5	 	379.77597	144.5215	 	771.84155	158.54115	 	494.9449	182.25984	 	1018.8721	221.46678	 	419.27902	349.68353	 	1093.2606	372.54263	 	894.8059	396.9941	 	108.920715	405.3673	 	1232.3523	559.1376	 	52.87069	565.0747	 	616.51447	703.308	 	1437.051	815.0	 	788.05884	968.77576	 	499.7751	1064.474	 	863.8893	1074.4261	 
3	266.02435	84.08469	 	1234.3007	118.599686	 	379.38257	144.17616	 	771.6893	158.83333	 	494.94095	182.09055	 	1018.8586	221.60855	 	419.18442	349.827	 	1093.1418	372.35135	 	894.2796	396.83878	 	108.93789	404.9969	 	1232.5033	559.17444	 	52.425713	565.38574	 	616.38086	703.0487	 	1437.0248	815.3416	 	787.8496	968.282	 	499.80597	1064.5038	 	863.8333	1074.4116	 
4	265.8568	84.26591	 	1234.497	118.533745	 	379.44266	144.15233	 	772.01624	159.01627	 	495.2461	182.1875	 	1018.80566	221.21428	 	419.34906	350.01697	 	1092.898	372.296	 	894.334	396.71457	 	109.10577	404.81732	 	1232.6556	559.25165	 	52.615818	565.0791	 	616.7286	702.59283	 	1437.0339	815.4903	 	787.7453	968.334	 	500.25278	1064.6808	 	863.7414	1074.4518	 
5	265.91068	84.35847	 	1234.2914	118.2638	 	379.37003	143.95488	 	771.7163	159.01021	 	495.41922	182.32692	 	1018.8655	221.201	 	419.20386	349.94232	 	1092.8822	372.20306	 	893.97156	396.8618	 	108.717255	404.4361	 	1232.5167	559.26843	 	52.60541	565.1211	 	616.30725	702.4855	 	1436.8636	815.5	 	787.54834	968.7974	 	500.11798	1064.7247	 	863.0102	1074.4252	 
6	265.74417	84.11628	 	1234.6223	118.51223	 	379.47455	143.88545	 	771.5207	158.9215	 	495.29688	182.45703	 	1019.0217	220.9515	 	419.33142	349.84866	 	1093.0167	372.22665	 	894.2944	396.75	 	108.82792	404.53247	 	1232.642	559.1677	 	52.418365	565.0277	 	616.3267	702.4675	 	1437.03	815.14	 	787.7111	968.4037	 	500.27444	1064.8422	 	862.87085	1074.308	 
7	265.66046	84.19302	 	1234.6173	118.67593	 	379.42807	143.67267	 	771.37915	158.97917	 	495.24713	182.54597	 	1019.3119	221.3581	 	419.28812	349.73047	 	1093.326	372.4632	 	894.2805	396.8252	 	109.064514	404.58386	 	1232.3704	559.4044	 	52.534885	564.93604	 	616.48206	702.5968	 	1437.1162	815.7929	 	787.7	968.3717	 	500.59558	1064.9963	 	862.8581	1074.4595	 
8	265.7046	83.67471	 	1234.2993	118.5	 	378.9767	143.61111	 	771.35425	158.6417	 	494.98413	182.07936	 	1019.0134	220.92953	 	419.27567	349.3403	 	1093.0221	372.07288	 	894.1829	396.2561	 	108.88535	404.07962	 	1232.3595	559.3863	 	52.171555	564.70233	 	616.3978	702.4635	 	1437.0197	815.402	 	787.515	968.0977	 	500.4889	1064.8407	 	862.87335	1074.3467	 
9	265.70184	83.63074	 	1234.3777	118.282875	 	379.06506	143.51488	 	771.5823	158.14197	 	495.03125	182.01172	 	1019.5631	221.098	 	419.32706	349.4812	 	1093.3381	372.17313	 	894.4016	396.2541	 	109.16013	404.0	 	1232.4504	559.4571	 	52.36012	564.622	 	616.3339	702.2269	 	1437.1123	815.40814	 	787.8026	967.9797	 	500.73773	1064.8019	 	862.9558	1074.4252	 
10	265.90277	83.486115	 	1234.217	118.1761	 	379.074	143.64801	 	771.69916	158.4309	 	494.95703	182.01953	 	1019.593	221.08472	 	419.107	349.99805	 	1093.2057	371.76422	 	894.64514	396.10483	 	109.15815	404.46805	 	1232.598	559.4764	 	52.005917	565.1065	 	616.30725	702.69635	 	1437.0392	815.5686	 	787.4259	968.3778	 	500.90298	1064.8507	 	862.9276	1074.5276	 
11	265.35715	83.37755	 	1234.179	118.17584	 	379.08243	143.50366	 	771.7951	158.78688	 	495.0098	182.00589	 	1019.62213	221.08086	 	419.02325	349.94574	 	1093.2623	371.78714	 	894.2125	396.40283	 	108.91747	404.28964	 	1232.6605	559.3662	 	51.932434	564.503	 	616.3327	702.5409	 	1437.0193	815.4231	 	787.7879	968.5	 	501.05148	1064.8052	 	863.0172	1074.5414	 
12	265.5499	83.5703	 	1234.2617	118.706894	 	379.1295	143.51799	 	771.6811	159.09259	 	494.93307	182.03543	 	1019.79193	221.04698	 	419.2433	349.90997	 	1093.2338	371.7082	 	894.25	396.63525	 	109.17823	404.5915	 	1232.9846	559.5137	 	52.403507	564.8187	 	616.29785	702.5722	 	1437.0392	815.5686	 	787.7053	968.75476	 	501.23605	1065.0056	 	863.0417	1074.5209	 
13	265.59424	83.47472	 	1234.4213	118.53939	 	379.09708	143.58424	 	771.54895	158.8551	 	494.96246	181.91898	 	1019.7121	220.92087	 	419.35986	350.00378	 	1093.4291	371.8387	 	894.19794	396.37347	 	108.909676	404.21613	 	1232.6283	559.1513	 	52.28869	564.7202	 	616.4448	702.44116	 	1436.9762	815.7381	 	787.75476	968.6103	 	501.08054	1065.1293	 	862.9558	1074.4796	 
14	265.2176	83.583336	 	1234.2639	118.940994	 	379.26102	143.79411	 	771.6429	158.87143	 	495.03726	181.92744	 	1019.99664	220.9463	 	419.74426	350.1565	 	1093.3617	372.17523	 	894.11536	396.59717	 	109.10645	404.28064	 	1232.9567	559.1433	 	52.376507	564.71387	 	616.6808	702.5664	 	1437.0339	816.3544	 	787.6245	968.6698	 	501.19342	1065.3687	 	862.9558	1074.4796	 
15	265.25516	83.64188	 	1234.1531	119.02812	 	379.23456	143.72545	 	771.4244	158.86975	 	494.9524	182.00397	 	1019.61035	220.98495	 	419.36465	350.1504	 	1092.9419	372.01495	 	894.1016	396.55692	 	109.131065	404.10843	 	1232.6622	559.29803	 	52.511696	564.7632	 	616.4551	703.15546	 	1436.9423	816.0	 	787.68726	968.7884	 	501.15454	1065.4818	 	862.86804	1074.5347	 
16	265.42975	83.129974	 	1234.5062	118.81988	 	378.7156	143.65985	 	770.95935	158.98373	 	494.80157	182.01984	 	1019.6237	220.95819	 	419.4356	350.14395	 	1092.851	372.11258	 	894.1829	396.80893	 	108.83443	404.13934	 	1232.7262	559.43115	 	52.30422	564.63556	 	616.39966	702.61523	 	1436.9423	816.0	 	787.90826	968.2116	 	501.08908	1065.5037	 	862.61566	1074.4932	 
17	265.1907	83.111626	 	1234.5525	119.111115	 	379.1022	144.13869	 	771.10486	159.42339	 	494.8913	182.29842	 	1019.7148	221.20134	 	419.3327	350.38214	 	1092.6561	372.26746	 	894.2449	396.79218	 	108.89934	404.3548	 	1232.5297	559.4835	 	51.808605	564.8353	 	616.3007	702.7283	 	1437.0758	816.3788	 	788.1185	968.5926	 	501.3185	1065.4333	 	862.95715	1074.6929	 
18	264.94977	82.88128	 	1234.5679	119.012344	 	379.2712	144.18634	 	771.30255	159.80252	 	494.94882	182.23228	 	1019.62915	221.39404	 	419.29926	350.33334	 	1092.8816	371.95724	 	894.1967	396.87704	 	108.87294	404.32178	 	1232.5717	559.4218	 	52.00303	564.69696	 	616.4669	702.5073	 	1437.1123	816.40814	 	787.9532	968.22656	 	501.08908	1065.4491	 	862.81036	1074.6448	 
19	264.88248	82.68664	 	1234.3676	118.99527	 	379.5146	144.14963	 	771.07983	159.96219	 	495.1718	182.69305	 	1019.6678	221.7349	 	419.29926	350.4659	 	1093.0874	372.01157	 	894.0462	396.8293	 	108.9704	404.57565	 	1232.7354	559.3595	 	52.11607	564.8006	 	616.6612	702.5989	 	1437.1526	816.2368	 	788.15674	968.60077	 	501.06088	1065.7952	 	862.61566	1074.4932	 
20	265.14154	82.634705	 	1234.239	119.34906	 	379.2647	144.24265	 	770.9656	159.9332	 	494.9743	182.24309	 	1019.696	221.69934	 	418.78735	350.42337	 	1093.231	371.80896	 	893.7218	396.93146	 	108.88816	404.5066	 	1232.5817	559.49347	 	52.333836	564.6148	 	616.5406	702.6107	 	1437.051	816.2857	 	788.1053	968.5038	 	501.03232	1065.9297	 	862.8287	1074.5559	 
