Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17	X18	Y18	Flag18	X19	Y19	Flag19	X20	Y20	Flag20	X21	Y21	Flag21	X22	Y22	Flag22	X23	Y23	Flag23	X24	Y24	Flag24	X25	Y25	Flag25	X26	Y26	Flag26	X27	Y27	Flag27	X28	Y28	Flag28	X29	Y29	Flag29	X30	Y30	Flag30	X31	Y31	Flag31	X32	Y32	Flag32	X33	Y33	Flag33	X34	Y34	Flag34	X35	Y35	Flag35	X36	Y36	Flag36	X37	Y37	Flag37	X38	Y38	Flag38	X39	Y39	Flag39	X40	Y40	Flag40	X41	Y41	Flag41	X42	Y42	Flag42	X43	Y43	Flag43	X44	Y44	Flag44	X45	Y45	Flag45	X46	Y46	Flag46	X47	Y47	Flag47	X48	Y48	Flag48	X49	Y49	Flag49	X50	Y50	Flag50	X51	Y51	Flag51	X52	Y52	Flag52	X53	Y53	Flag53	X54	Y54	Flag54	X55	Y55	Flag55	X56	Y56	Flag56	X57	Y57	Flag57	X58	Y58	Flag58	X59	Y59	Flag59	X60	Y60	Flag60	X61	Y61	Flag61	X62	Y62	Flag62	X63	Y63	Flag63	X64	Y64	Flag64	X65	Y65	Flag65	X66	Y66	Flag66	X67	Y67	Flag67	X68	Y68	Flag68	X69	Y69	Flag69	X70	Y70	Flag70	X71	Y71	Flag71
Tracks 1 to 71
1	196.77737	4.2372265	 	1030.2686	17.590544	 	647.83405	27.889011	 	174.99173	28.708038	 	1437.7451	58.833332	 	80.08209	63.410446	 	1248.0813	118.597275	 	304.26218	155.75787	 	412.77884	165.9	 	1411.9652	205.41489	 	631.82776	206.1356	 	840.99335	231.95598	 	443.05106	279.10214	 	62.119164	302.56387	 	890.5876	323.2707	 	856.65	351.84482	 	966.6305	379.58646	 	489.48178	402.88412	 	117.34819	435.81067	 	623.41296	440.31793	 	303.95746	452.80545	 	572.6952	459.1832	 	1140.1635	492.56564	 	975.2659	513.02673	 	1064.7069	521.7672	 	1314.3634	536.63135	 	440.9917	539.4238	 	994.5638	567.979	 	271.68085	568.3963	 	270.91666	572.25	 	107.38833	610.9112	 	678.25916	714.5377	 	600.726	733.2787	 	1184.9147	735.96515	 	658.4083	784.7775	 	1349.0613	785.4865	 	704.39417	819.6799	 	608.5377	920.49414	 	1063.1107	938.1616	 	1320.3789	959.2997	 	51.252285	974.95044	 	390.39963	962.4052	 	157.1966	978.6562	 	816.67957	977.57153	 	843.6948	1026.974	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	199.05682	4.8011365	 	1030.3508	18.293499	 	647.37256	29.25162	 	175.58571	30.835066	 	1437.581	59.98649	 	79.23077	64.47436	 	1248.217	119.87572	 	305.14026	159.47484	 	412.375	166.69476	 	1411.753	206.23598	 	631.8055	207.26962	 	840.84485	232.82224	 	442.32413	279.98874	 	62.434578	303.92758	 	890.67316	324.44852	 	856.7463	353.0208	 	966.7989	380.5814	 	489.28674	403.4207	 	119.32433	437.23004	 	623.2371	441.37848	 	303.76257	453.9762	 	572.6078	460.38922	 	1140.2443	493.749	 	975.48724	514.3138	 	1064.5	521.5171	 	1314.2559	537.38043	 	440.942	540.0829	 	994.6833	568.9471	 	271.24673	569.7428	*	270.81668	573.31665	*	107.393036	611.7363	 	677.62897	715.4519	 	600.62787	733.9427	 	1185.1824	736.7958	 	658.0173	785.2051	 	1348.9943	786.50903	 	704.21796	820.9581	 	608.6579	920.3703	 	1063.2941	939.2557	 	1320.5128	960.5485	 	51.757946	975.98706	 	390.355	963.6357	 	156.71777	979.4721	 	816.63965	978.76953	 	843.5516	1028.2109	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	197.9469	6.561947	 	1030.2853	19.603092	 	646.6757	32.30911	 	175.55838	34.040607	 	1437.1788	62.930656	 	78.5921	65.92105	 	1247.6426	122.76454	 	304.90317	162.77893	 	411.68115	169.76952	 	1411.2289	209.19754	 	631.35	210.24667	 	840.13745	235.8756	 	441.62576	282.97668	 	61.668617	306.9801	 	889.92706	327.52304	 	856.0459	356.31302	 	966.1651	383.50787	 	488.5	406.5841	 	119.18175	440.29797	 	622.3327	444.21936	 	303.2687	457.05103	 	571.91516	463.51212	 	1139.7246	496.75668	 	974.8622	516.9724	 	1064.921	521.4123	 	1313.5062	540.54486	 	439.96454	543.01044	 	993.726	571.9136	 	270.42328	572.5409	*	270.05173	576.31036	*	106.87313	614.6691	 	676.5662	718.60315	 	599.8865	736.8635	 	1184.1084	739.4429	 	657.0637	787.90985	 	1348.0391	789.38477	 	703.4607	823.6179	 	608.42426	921.06744	 	1062.4866	942.4047	 	1320.0098	963.60724	 	50.797276	978.8841	 	389.88174	966.5987	 	156.1487	982.7313	 	815.7353	981.7059	 	842.76654	1031.5386	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	197.38797	6.9688797	 	1029.5443	19.439245	 	645.9283	32.953587	 	174.6234	34.67738	 	1436.7094	64.040695	 	78.91333	66.486664	 	1246.8507	123.69201	 	304.63724	163.6241	 	410.55975	170.414	 	1410.2242	210.04076	 	630.79626	211.03355	 	839.0679	236.63928	 	440.84537	283.7731	 	60.834095	307.51144	 	889.2933	328.31775	 	855.2848	356.52103	 	965.4878	384.2195	 	487.53244	407.44293	 	118.9705	440.7276	 	621.5595	444.7419	 	302.42682	457.53116	 	571.0496	464.48322	 	1138.7611	497.23096	 	974.0487	517.8077	 	1064.5084	521.7627	 	1312.4506	541.02783	 	439.06964	543.76044	 	992.4783	572.5942	 	269.64926	573.4801	*	269.1316	577.2719	*	106.13747	615.2494	 	675.8874	719.3444	 	598.84717	737.5428	 	1183.6428	740.3588	 	656.32056	788.68054	 	1347.0084	790.1782	 	702.8123	824.30035	 	608.2487	921.63055	 	1061.7454	943.214	 	1319.0323	964.5112	 	49.829903	979.5213	 	388.87195	967.1953	 	155.34027	983.5139	 	815.1039	982.51385	 	841.91016	1032.374	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	196.89166	7.6833334	 	1029.7611	20.498358	 	645.6826	34.226086	 	174.4	36.410526	 	1436.7329	64.96023	 	 	 	 	1246.7002	124.42126	 	304.41574	164.59294	 	410.41605	171.34708	 	1409.9108	210.87088	 	630.6945	212.2628	 	838.9976	237.9012	 	440.8252	284.79877	 	60.638756	308.76077	 	889.3611	329.5108	 	855.2643	358.06396	 	965.4408	385.39874	 	487.52524	408.5385	 	118.929695	441.85587	 	621.53174	445.66534	 	302.1657	458.8357	 	571.0513	465.56522	 	1138.183	498.16394	 	973.3648	518.669	 	1064.7681	521.5206	 	1312.2683	542.1239	 	439.00916	544.9543	 	992.47766	573.6726	 	269.4479	574.3906	*	269.1	578.28	*	106.02551	616.6046	 	675.79425	720.4504	 	598.70404	738.8426	 	1183.5675	741.1425	 	656.1063	789.7291	 	1346.7671	790.83813	 	702.57007	825.45557	 	606.21185	921.557	 	1061.758	944.21844	 	1318.2507	965.29346	 	49.87519	980.6422	 	388.54816	968.30927	 	155.3018	984.7396	 	812.61145	982.9223	 	841.53894	1033.7507	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	196.27777	8.244445	 	1030.381	19.897219	 	645.9286	34.75974	 	174.59586	37.147667	 	1436.7858	65.7381	 	 	 	 	1246.7771	125.350624	 	304.14706	164.43726	 	410.8165	172.40788	 	1410.2838	211.96164	 	630.7651	212.97986	 	839.0907	238.77805	 	441.10657	285.8627	 	60.817017	309.35315	 	889.52966	330.34845	 	855.36163	358.9333	 	965.6393	386.08685	 	487.89767	409.2202	 	117.86393	442.53784	 	621.9455	446.68002	 	302.48764	459.91895	 	571.0701	466.30432	 	1138.6233	499.23862	 	973.9717	519.6031	 	1064.2899	521.3571	 	1312.6796	543.2868	 	439.26437	546.0484	 	992.4567	574.597	 	269.88916	575.16235	*	269.07144	578.8929	*	106.1817	617.3371	 	675.9671	721.3114	 	599.1292	739.56104	 	1184.4076	742.64624	 	656.27496	790.9914	 	1347.2021	791.96326	 	702.8881	826.3794	 	608.4437	921.6813	 	1061.6694	945.0275	 	1318.7883	966.4602	 	50.23074	981.533	 	388.7589	969.0591	 	155.67421	985.46344	 	815.3641	984.81903	 	841.7283	1034.5931	 	78.753525	67.80986	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	194.62122	7.7727275	 	1029.718	19.319672	 	645.9871	32.939915	 	173.64487	34.57243	 	1436.6932	64.22727	 	 	 	 	1246.507	123.77526	 	302.5259	160.69424	 	410.7003	170.5653	 	1409.976	210.42232	 	630.45557	211.17009	 	838.7225	237.2219	 	440.8215	284.4165	 	60.622303	307.8837	 	889.3685	328.72223	 	855.0034	357.22867	 	965.39154	384.51276	 	487.6307	407.7562	 	115.52691	441.06076	 	621.77716	445.00397	 	302.30637	458.0975	 	570.8991	464.66867	 	1138.4918	497.41666	 	973.6917	518.0725	 	1064.817	521.54065	 	1312.4061	541.717	 	439.46936	544.5501	 	992.05054	572.7926	 	269.91162	573.5528	*	269.06897	577.2931	*	105.90458	615.986	 	676.049	719.8074	 	598.66046	738.2269	 	1183.6012	740.8054	 	656.182	789.78033	 	1347.1578	790.626	 	702.993	825.2263	 	607.9539	921.419	 	1061.2311	943.22656	 	1318.5894	964.8631	 	49.913044	979.5802	 	388.43408	967.4228	 	155.49474	984.2456	 	815.18646	983.04095	 	841.3694	1032.9662	 	78.85526	67.10526	 	151.28334	437.73334	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	188.92308	6.820513	 	1028.9437	18.996588	 	646.03845	31.60989	 	172.80215	33.116306	 	1436.6405	62.73784	 	 	 	 	1245.9005	122.682465	 	301.86472	159.14873	 	410.53305	169.56897	 	1409.7208	209.33618	 	629.8863	210.03177	 	838.3348	236.17558	 	440.52997	283.26447	 	60.060974	306.59512	 	888.91534	327.48563	 	854.7021	356.1274	 	965.1561	383.3887	 	487.20328	406.67648	 	115.045296	439.5427	 	621.557	444.12732	 	301.6876	457.03656	 	570.1991	463.71124	 	1137.7198	496.37955	 	973.1945	517.0039	 	1064.6028	521.472	 	1311.7463	540.8106	 	439.12585	543.16064	 	991.5371	571.78284	 	269.3925	572.4516	*	268.68033	576.2213	*	105.366844	615.01434	 	675.7253	719.01166	 	598.4713	737.5455	 	1183.2222	739.7407	 	655.7892	789.06866	 	1346.3983	789.5289	 	702.52704	823.9703	 	608.18976	921.1074	 	1060.6981	942.11176	 	1318.2493	964.1764	 	49.288593	978.63385	 	387.8745	966.24146	 	155.17863	983.0494	 	814.69684	981.7425	 	840.7447	1031.8876	 	78.66883	66.35714	 	151.0246	434.2869	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	196.25	6.453704	 	1028.4739	19.33826	 	645.5265	31.3234	 	174.11942	33.14042	 	1436.2932	62.216347	 	 	 	 	1245.7783	122.43471	 	303.26797	161.67494	 	409.88663	169.05232	 	1409.3612	208.46979	 	629.74	209.37833	 	838.14636	235.28615	 	440.02353	282.4366	 	60.126762	306.3615	 	888.88727	326.81104	 	854.4076	355.5297	 	964.7432	382.87042	 	486.76025	405.70386	 	117.254974	439.27087	 	621.086	443.20502	 	301.57318	456.0149	 	569.9247	463.07077	 	1137.7556	495.91324	 	973.0974	516.2143	 	1064.7069	521.3276	 	1311.4888	539.72473	 	438.4737	542.54987	 	991.2474	570.90546	 	268.91495	571.8763	*	268.44827	575.62067	*	105.28446	614.1065	 	674.9989	717.87555	 	598.3744	736.2488	 	1182.7186	739.2022	 	655.3208	787.6233	 	1346.3044	788.9265	 	702.0406	823.19257	 	607.812	920.8995	 	1060.7905	941.5782	 	1317.9305	963.3725	 	49.245388	978.25793	 	387.64713	965.5019	 	154.62976	981.9671	 	814.32635	981.2689	 	840.4193	1031.4193	 	78.28667	65.833336	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
